Category	Size	ExpCount	Count	OddsRatio	Pvalue	PvalueAdj	Genes
BIOCARTA_LAIR_PATHWAY	17	0.045204	0	0	1	1	
BIOCARTA_TID_PATHWAY	19	0.0505221	0	0	1	1	
BIOCARTA_CLASSIC_PATHWAY	14	0.0372268	0	0	1	1	
BIOCARTA_COMP_PATHWAY	19	0.0505221	0	0	1	1	
BIOCARTA_VDR_PATHWAY	12	0.0319087	0	0	1	1	
BIOCARTA_CTCF_PATHWAY	23	0.0611583	0	0	1	1	
BIOCARTA_CTL_PATHWAY	13	0.0345677	0	0	1	1	
BIOCARTA_CXCR4_PATHWAY	24	0.0638174	0	0	1	1	
BIOCARTA_CELLCYCLE_PATHWAY	23	0.0611583	0	0	1	1	
BIOCARTA_CFTR_PATHWAY	12	0.0319087	0	0	1	1	
BIOCARTA_CYTOKINE_PATHWAY	21	0.0558402	0	0	1	1	
BIOCARTA_INFLAM_PATHWAY	29	0.0771127	0	0	1	1	
BIOCARTA_DC_PATHWAY	22	0.0584993	0	0	1	1	
BIOCARTA_P35ALZHEIMERS_PATHWAY	11	0.0292496	0	0	1	1	
BIOCARTA_RNA_PATHWAY	10	0.0265906	0	0	1	1	
BIOCARTA_MTA3_PATHWAY	19	0.0505221	0	0	1	1	
BIOCARTA_SKP2E2F_PATHWAY	10	0.0265906	0	0	1	1	
BIOCARTA_EGF_PATHWAY	31	0.0824308	0	0	1	1	
BIOCARTA_EPO_PATHWAY	19	0.0505221	0	0	1	1	
BIOCARTA_ECM_PATHWAY	24	0.0638174	0	0	1	1	
BIOCARTA_ERK_PATHWAY	28	0.0744536	0	0	1	1	
BIOCARTA_ERYTH_PATHWAY	15	0.0398859	0	0	1	1	
BIOCARTA_EIF_PATHWAY	16	0.0425449	0	0	1	1	
BIOCARTA_EXTRINSIC_PATHWAY	13	0.0345677	0	0	1	1	
BIOCARTA_FAS_PATHWAY	30	0.0797717	0	0	1	1	
BIOCARTA_FEEDER_PATHWAY	9	0.0239315	0	0	1	1	
BIOCARTA_FIBRINOLYSIS_PATHWAY	12	0.0319087	0	0	1	1	
BIOCARTA_FREE_PATHWAY	10	0.0265906	0	0	1	1	
BIOCARTA_GABA_PATHWAY	10	0.0265906	0	0	1	1	
BIOCARTA_GATA3_PATHWAY	16	0.0425449	0	0	1	1	
BIOCARTA_GLYCOLYSIS_PATHWAY	10	0.0265906	0	0	1	1	
BIOCARTA_SET_PATHWAY	11	0.0292496	0	0	1	1	
BIOCARTA_GH_PATHWAY	28	0.0744536	0	0	1	1	
BIOCARTA_AHSP_PATHWAY	13	0.0345677	0	0	1	1	
BIOCARTA_TCAPOPTOSIS_PATHWAY	9	0.0239315	0	0	1	1	
BIOCARTA_SALMONELLA_PATHWAY	13	0.0345677	0	0	1	1	
BIOCARTA_MPR_PATHWAY	34	0.0904079	0	0	1	1	
BIOCARTA_HCMV_PATHWAY	17	0.045204	0	0	1	1	
BIOCARTA_P53HYPOXIA_PATHWAY	23	0.0611583	0	0	1	1	
BIOCARTA_HIF_PATHWAY	15	0.0398859	0	0	1	1	
BIOCARTA_IGF1_PATHWAY	21	0.0558402	0	0	1	1	
BIOCARTA_IL17_PATHWAY	15	0.0398859	0	0	1	1	
BIOCARTA_IL2_PATHWAY	22	0.0584993	0	0	1	1	
BIOCARTA_IL3_PATHWAY	15	0.0398859	0	0	1	1	
BIOCARTA_IL4_PATHWAY	11	0.0292496	0	0	1	1	
BIOCARTA_IL5_PATHWAY	10	0.0265906	0	0	1	1	
BIOCARTA_IL6_PATHWAY	22	0.0584993	0	0	1	1	
BIOCARTA_IL10_PATHWAY	17	0.045204	0	0	1	1	
BIOCARTA_IL12_PATHWAY	21	0.0558402	0	0	1	1	
BIOCARTA_IL2RB_PATHWAY	38	0.101044	0	0	1	1	
BIOCARTA_IL22BP_PATHWAY	16	0.0425449	0	0	1	1	
BIOCARTA_IL7_PATHWAY	17	0.045204	0	0	1	1	
BIOCARTA_GSK3_PATHWAY	27	0.0717945	0	0	1	1	
BIOCARTA_RACCYCD_PATHWAY	26	0.0691355	0	0	1	1	
BIOCARTA_GLEEVEC_PATHWAY	23	0.0611583	0	0	1	1	
BIOCARTA_INSULIN_PATHWAY	22	0.0584993	0	0	1	1	
BIOCARTA_INTEGRIN_PATHWAY	38	0.101044	0	0	1	1	
BIOCARTA_INTRINSIC_PATHWAY	23	0.0611583	0	0	1	1	
BIOCARTA_KERATINOCYTE_PATHWAY	46	0.122317	0	0	1	1	
BIOCARTA_TCRA_PATHWAY	11	0.0292496	0	0	1	1	
BIOCARTA_LECTIN_PATHWAY	12	0.0319087	0	0	1	1	
BIOCARTA_EGFR_SMRTE_PATHWAY	11	0.0292496	0	0	1	1	
BIOCARTA_MAPK_PATHWAY	87	0.231338	0	0	1	1	
BIOCARTA_MCALPAIN_PATHWAY	25	0.0664764	0	0	1	1	
BIOCARTA_PPARA_PATHWAY	58	0.154225	0	0	1	1	
BIOCARTA_ETS_PATHWAY	18	0.047863	0	0	1	1	
BIOCARTA_MONOCYTE_PATHWAY	11	0.0292496	0	0	1	1	
BIOCARTA_MTOR_PATHWAY	23	0.0611583	0	0	1	1	
BIOCARTA_IGF1R_PATHWAY	23	0.0611583	0	0	1	1	
BIOCARTA_PITX2_PATHWAY	15	0.0398859	0	0	1	1	
BIOCARTA_NGF_PATHWAY	18	0.047863	0	0	1	1	
BIOCARTA_NTHI_PATHWAY	24	0.0638174	0	0	1	1	
BIOCARTA_NFKB_PATHWAY	23	0.0611583	0	0	1	1	
BIOCARTA_NO2IL12_PATHWAY	17	0.045204	0	0	1	1	
BIOCARTA_RARRXR_PATHWAY	15	0.0398859	0	0	1	1	
BIOCARTA_NUCLEARRS_PATHWAY	15	0.0398859	0	0	1	1	
BIOCARTA_ARENRF2_PATHWAY	13	0.0345677	0	0	1	1	
BIOCARTA_P38MAPK_PATHWAY	40	0.106362	0	0	1	1	
BIOCARTA_P53_PATHWAY	16	0.0425449	0	0	1	1	
BIOCARTA_PDGF_PATHWAY	32	0.0850898	0	0	1	1	
BIOCARTA_PLCE_PATHWAY	12	0.0319087	0	0	1	1	
BIOCARTA_EDG1_PATHWAY	27	0.0717945	0	0	1	1	
BIOCARTA_CDK5_PATHWAY	11	0.0292496	0	0	1	1	
BIOCARTA_PLATELETAPP_PATHWAY	14	0.0372268	0	0	1	1	
BIOCARTA_PS1_PATHWAY	14	0.0372268	0	0	1	1	
BIOCARTA_PROTEASOME_PATHWAY	28	0.0744536	0	0	1	1	
BIOCARTA_AKAPCENTROSOME_PATHWAY	15	0.0398859	0	0	1	1	
BIOCARTA_PTEN_PATHWAY	18	0.047863	0	0	1	1	
BIOCARTA_RAB_PATHWAY	12	0.0319087	0	0	1	1	
BIOCARTA_RAC1_PATHWAY	23	0.0611583	0	0	1	1	
BIOCARTA_RAS_PATHWAY	23	0.0611583	0	0	1	1	
BIOCARTA_NKCELLS_PATHWAY	20	0.0531811	0	0	1	1	
BIOCARTA_RB_PATHWAY	13	0.0345677	0	0	1	1	
BIOCARTA_CHREBP2_PATHWAY	42	0.11168	0	0	1	1	
BIOCARTA_BAD_PATHWAY	26	0.0691355	0	0	1	1	
BIOCARTA_CK1_PATHWAY	17	0.045204	0	0	1	1	
BIOCARTA_EIF2_PATHWAY	11	0.0292496	0	0	1	1	
BIOCARTA_EIF4_PATHWAY	24	0.0638174	0	0	1	1	
BIOCARTA_STEM_PATHWAY	15	0.0398859	0	0	1	1	
BIOCARTA_PML_PATHWAY	17	0.045204	0	0	1	1	
BIOCARTA_DREAM_PATHWAY	14	0.0372268	0	0	1	1	
BIOCARTA_LEPTIN_PATHWAY	11	0.0292496	0	0	1	1	
BIOCARTA_RHO_PATHWAY	32	0.0850898	0	0	1	1	
BIOCARTA_AKAP13_PATHWAY	12	0.0319087	0	0	1	1	
BIOCARTA_ATRBRCA_PATHWAY	21	0.0558402	0	0	1	1	
BIOCARTA_CARDIACEGF_PATHWAY	18	0.047863	0	0	1	1	
BIOCARTA_HER2_PATHWAY	22	0.0584993	0	0	1	1	
BIOCARTA_ERK5_PATHWAY	18	0.047863	0	0	1	1	
BIOCARTA_MAL_PATHWAY	19	0.0505221	0	0	1	1	
BIOCARTA_ACH_PATHWAY	16	0.0425449	0	0	1	1	
BIOCARTA_PARKIN_PATHWAY	12	0.0319087	0	0	1	1	
BIOCARTA_CDC42RAC_PATHWAY	16	0.0425449	0	0	1	1	
BIOCARTA_RANMS_PATHWAY	10	0.0265906	0	0	1	1	
BIOCARTA_BARR_MAPK_PATHWAY	12	0.0319087	0	0	1	1	
BIOCARTA_TOB1_PATHWAY	19	0.0505221	0	0	1	1	
BIOCARTA_BARRESTIN_SRC_PATHWAY	15	0.0398859	0	0	1	1	
BIOCARTA_NKT_PATHWAY	29	0.0771127	0	0	1	1	
BIOCARTA_IL1R_PATHWAY	33	0.0877489	0	0	1	1	
BIOCARTA_MET_PATHWAY	37	0.0983851	0	0	1	1	
BIOCARTA_IGF1MTOR_PATHWAY	20	0.0531811	0	0	1	1	
BIOCARTA_SODD_PATHWAY	10	0.0265906	0	0	1	1	
BIOCARTA_SHH_PATHWAY	16	0.0425449	0	0	1	1	
BIOCARTA_PTC1_PATHWAY	11	0.0292496	0	0	1	1	
BIOCARTA_SPRY_PATHWAY	18	0.047863	0	0	1	1	
BIOCARTA_BARRESTIN_PATHWAY	10	0.0265906	0	0	1	1	
BIOCARTA_STATHMIN_PATHWAY	19	0.0505221	0	0	1	1	
BIOCARTA_TCYTOTOXIC_PATHWAY	12	0.0319087	0	0	1	1	
BIOCARTA_THELPER_PATHWAY	12	0.0319087	0	0	1	1	
BIOCARTA_TALL1_PATHWAY	15	0.0398859	0	0	1	1	
BIOCARTA_TEL_PATHWAY	18	0.047863	0	0	1	1	
BIOCARTA_TGFB_PATHWAY	19	0.0505221	0	0	1	1	
BIOCARTA_TH1TH2_PATHWAY	19	0.0505221	0	0	1	1	
BIOCARTA_41BB_PATHWAY	17	0.045204	0	0	1	1	
BIOCARTA_CTLA4_PATHWAY	19	0.0505221	0	0	1	1	
BIOCARTA_SARS_PATHWAY	10	0.0265906	0	0	1	1	
BIOCARTA_STRESS_PATHWAY	25	0.0664764	0	0	1	1	
BIOCARTA_TNFR1_PATHWAY	29	0.0771127	0	0	1	1	
BIOCARTA_TNFR2_PATHWAY	18	0.047863	0	0	1	1	
BIOCARTA_TOLL_PATHWAY	37	0.0983851	0	0	1	1	
BIOCARTA_TPO_PATHWAY	24	0.0638174	0	0	1	1	
BIOCARTA_CREB_PATHWAY	27	0.0717945	0	0	1	1	
BIOCARTA_CARM1_PATHWAY	13	0.0345677	0	0	1	1	
BIOCARTA_TRKA_PATHWAY	12	0.0319087	0	0	1	1	
BIOCARTA_ARF_PATHWAY	17	0.045204	0	0	1	1	
BIOCARTA_UCALPAIN_PATHWAY	18	0.047863	0	0	1	1	
BIOCARTA_VEGF_PATHWAY	29	0.0771127	0	0	1	1	
BIOCARTA_VITCB_PATHWAY	11	0.0292496	0	0	1	1	
BIOCARTA_WNT_PATHWAY	26	0.0691355	0	0	1	1	
BIOCARTA_ACTINY_PATHWAY	20	0.0531811	0	0	1	1	
